id,class,sentence
92;"joy";" at a friends birthday party with some of my closest friends it was all very pleasant and one could say that i was happy to have such good friends"
93;"fear";" on the way home one friday night in the heavy rain the car acquaplanned i lost contact with the road surface for a few seconds"
94;"anger";" mad at my dad"
95;"sadness";" a case of unrequited love"
96;"disgust";" a bad smelling cucumber"
97;"shame";" nearly caught masturbating"
98;"guilt";" i do not help out enough at home"
99;"joy";" i felt very happy when i won the football pools"
100;"fear";" when i flew from athens to copenhagen after a holiday the plane was caught in a storm and it began to shake and i thought that we were going to crash"
101;"anger";" when someone stole my bike"
102;"sadness";" when i saw the list of books to read for an accounting course i thought oh god how will i ever manage it"
103;"disgust";" it was when i read a newspaper article on the future and they foresaw that we would be eating frogburgers by the year an illustration showed a frog between two pieces of bread"
104;"shame";" when i dropped a bottle in the state liquor store and everybody started laughing"
105;"guilt";" when i was young i pinched from a store and was caught the store then contacted my parents"
106;"joy";" when the whole family gets together for a one week holiday everybody feels free and the trip is well planned it works out well and we enjoy ourselves"
107;"fear";" when i could not find my year old daughter i ran and looked for her everywhere and could not find her i finally found her she had gone to bed to sleep"
108;"anger";" when friends try to put me down or hurt me"
109;"sadness";" marriage crises boredom"
110;"disgust";" when someone makes advances that one does not want"
111;"shame";" the discovery that one has only thought of oneself"
112;"guilt";" when i spanked a child in anger and later regretted it terribly"
113;"joy";" when i passed the first examination that i had to repeat"
114;"fear";" when i drove to stockholm for the first time and drove off the story hissing road at the wrong exit"
115;"anger";" when my boyfriend went away for a month long holiday without me"
116;"sadness";" last year when i worked during the summer holidays and studied at the same time for an examination i had to repeat my boyfriend went to greece for a holiday for a month"
117;"disgust";" when a dog is left whining outside a shop"
118;"shame";" when i promised to help a friend over a weekend and did not keep the promise"
119;"guilt";" when i realized that i had three more examinations to take"
120;"joy";" the day i was told that i had been accepted as a student of economics"
121;"fear";" while taking a short cut through the vasa park i was surrounded by three people who tried to steal my money i was scared and was saved only by the appearance of other people"
122;"anger";" at a restaurant i observed how the gypsies tried to get money by cheating the foreigners ie non swedish speaking my anger had nothing to do with hatred against foreigners but it was an expression of the anger i feel when i see people being used"
123;"sadness";" at the beginning of a new course one is afraid of encountering problems one can not manage thoughts revolve around failing the subject and the consequences it would have for the future"
124;"disgust";" while walking in town i noticed how the police harassed a man who was under the influence of alcohol they terrified him with the thought of arrest by driving close behind him on a pedestrian street my disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves"
125;"shame";" when my boyfriend revealed that he knew that i had discovered things of an important nature about him i felt ashamed as i had not mentioned it earlier"
126;"guilt";" when i am dishonest to a friend to whom i am very close i feel guilty because i know that he gives a different version of the truth and i have not corrected these mistakes and he is aware that i know that they are wrong"
127;"joy";" when i found out that i had passed the last two exams by a margin of three marks"
128;"fear";" when my father was ill and was waiting for the results of his tests"
129;"anger";" when i got caught in the pouring rain last thursday and did not have a raincoat on me"
130;"sadness";" when i failed an exam"
131;"disgust";" at a smorgasbord table a man mixed different kinds of picked herrings with fruit salad"
132;"shame";" when i had not prepared my contribution to the group as thoroughly as the other members with the result that the overall result was poor"
133;"guilt";" when my father and i worked on the house just after he had recovered from illness i was rather lazy this meant that he had to work hard and was not very well later"
134;"joy";" when i gave birth to my son and saw that he was alive and that i had managed it well he was born a month too early with a malfunctioning lung this happened a year ago"
135;"fear";" when i found out that my father had lung cancer and they did not know how long he would live"
136;"anger";" when a colleague asked me for help at work despite the fact that he had more time to do it than i had"
137;"sadness";" when i did not get the salary increase that i had been expecting and understood how little ones work was appreciated"
138;"disgust";" when i was weeding the garden i found a lizard in my hand"
139;"shame";" when i met a friend whom i had not seen for a long time and heard all about her troubles i thought that i should have got in touch with her earlier"
140;"guilt";" i got angry at my mother for something trivial we were in a bad mood because my father was very ill and i knew that my mother really needed support i had reacted wrongly"
141;"joy";" new years eve i met my girlfriend we stood on the steps outside her parents home and i kissed her for the first time"
142;"fear";" when i was stopped by plain clothes policemen because the car i was driving had overturned on the avenue i had been driving too fast and i was afraid when i was stopped questioned and then told to go the situation ended happily since there were no consequences"
143;"anger";" the editor changed the heading of an article that i had written he considered the heading to be derogatory towards the person i had written about"
144;"sadness";" a close acquaintance of the family died of lung cancer although it was expected i still felt depressed"
145;"disgust";" when i saw a picture in the gothenburg post of a totally demolished car with two fatally injured passengers the car was so badly damaged that they couldnt get the bodies out at the scene of the accident"
146;"shame";" one night i had a sexual intercourse with another man my sexual desire and my curiosity had made me jump into bed with him i am ashamed of myself now"
147;"guilt";" due to laziness i failed the term studies completely at university i also wanted to some extent to protest against my parents expectations"
148;"joy";" when i got the loan for my studies"
149;"fear";" i met intoxicated people with dubious intentions in a back alley one wednesday night"
150;"anger";" on the tv i saw a news feature on south africa a policeman attacked a group of black people with a whip"
151;"sadness";" the thought of having to read a boring book of pages in english"
152;"disgust";" grovelling people"
153;"shame";" my inability to assert myself positively in a group"
154;"guilt";" i experience feelings of guilt because i do not study enough"
155;"disgust";" observing someone in the cafeteria noisily gulping in his food having extremely bad manners"
156;"shame";" i guess i have often been ashamed after having talked badly of other people"
157;"guilt";" having been angry and unpleasant towards my parents"
158;"joy";" when my sister after a history of one abortion and one stillbirth gave birth to a perfectly health boy"
159;"fear";" when my sister had the still born child she was emotionally very deep down and it took her a long time to recover"
160;"anger";" we were starting a student project and the teacher we talked to was very negative and not very helpful"
161;"sadness";" when my boyfriend openly let me down preferring another girl"
162;"disgust";" i felt some disgust for my boyfriend for a time after he had left me"
163;"shame";" cant think of any"
164;"guilt";" before an accident my aunt offered me the front seat of the car next to the driver i declined she took that seat and was killed there when the car crashed"
165;"joy";" unexpected visit by a close friend whom i hadnt seen for half a year"
166;"fear";" i wandered by mistake into the safety zone of a shooting range and was shot at"
167;"anger";" being treated unfairly"
168;"sadness";" breaking up with a girl"
169;"disgust";" nothing"
170;"shame";" none"
171;"guilt";" little contact with my father before he died"
172;"joy";" when i was accepted as a student at the college not having thought it possible"
173;"fear";" when i was the first to arrive at the scene after an accident and found that a close school friend had been killed"
174;"anger";" i was accused of having done something which i hadnt and got very angry"
175;"sadness";" when my grandmother died"
176;"disgust";" not applicable"
177;"joy";" a couple of years ago during the summer holiday i was fishing at a lake with my husband suddenly it started raining while the sun was still shining i experienced a feeling of joy happiness and fulfillment the whole nature was full of music"
178;"fear";" i was alone at home in bed reading a women magazine in which there were stories of paranormal experiences my leg was itching and i stretched my hand to scratch and i felt another strange hand later i realized that it was the corner of the blanket"
179;"anger";" i went to a lecture and once again it had been cancelled this was the second time one had a negative attitude towards the lecturer"
180;"sadness";" i heard that a former superior of mine had died i was later at home home reading about it in the newspaper and i thought of our interaction and how it was no longer possible the limited scope of human life is sad"
181;"disgust";" in the tram there was a fat sickly looking woman in front of me who was asking for directions in a thick voice when she got up to go a disgusting smell of urine came from her i felt that i would choke"
182;"shame";" when we were at home my husband and i he made a remark about something i had done in a perfectly friendly manner my deed had been unjust and i knew that my husband was right therefore my sense of shame"
183;"guilt";" i made a remark to my sister concerning her attitude to men the way she talked and i compared her to an acquaintance of mine later the same evening my sister looked sad i felt guilty about her sadness"
184;"joy";" i had a summer job in sweden and my boyfriend came to meet me on my birthday"
185;"fear";" i went to practice in sweden during summer and i was afraid that i would not do well"
186;"anger";" in the holiday cottage of our association two of my pals came to wake me up early one morning by bringing a radio played at the highest volume into my room it was the morning service at its loudest"
187;"sadness";" my grandmother died suddenly last summer"
188;"disgust";" my superior at the summer job swindled customers as much as he could and once put me in a difficult situation after which i could not but detest him"
189;"shame";" once i arrived two hours late to my work place a bank and i was still feeling feeble and tired"
190;"guilt";" our association had polish visitors and when they were going back by boat i did not go to see them off i am the chairman of the association"
191;"joy";" i was told quite unexpectedly that one wanted me to become the vicechairman of our student organisation i was really surprised and joy was the first emotion i felt though behind it there was worry how shall i succeed"
192;"fear";" our tutorial group was soon to be divided and we got a list of names of freshmen out of which five were to be in my group we read the names and then each group went its own way to a seminar room i wondered how i would cope with the new situation and if i would succeed as a group leader"
193;"anger";" we were in a disco and the evening was not at all pleasant despite my not knowing why i was angry with my companion i let him feel my bad humour as i can not hide my feelings"
194;"sadness";" my grandmother died and my mother called me one sunday morning in the autumn the way my mother told me about it i hated her at that moment she sounded as if she had been waiting for the death of my grandmother i had lost a person close to me i felt guilty too as i had been bad to my grandmother of late i had not remained calm when she no longer understood everything so well"
195;"disgust";" at the underground station a drunkard came to speak to me he tried to ask me something but i did not answer so he began to speak about me with his companion i detested this dirty growling man"
196;"shame";" i was worried by a task related to my studies which had to be done in groups of two i was talking about it to my friends when i said something negative in too abrupt a manner concerning my work partner i did not quite mean what i said and i felt ashamed at having been mean enough to criticize him as he is also a friend of mine"
197;"guilt";" i had told my boyfriend that i did not want to go on with our relationship i knew that i was important to him but i wanted to be free i saw that this was difficult for him but i remained firm and did not change my mind"
198;"joy";" last night i had a chat with a fellow student i had known her for about half a year and for the first time we were speaking the same language meaning an inspiring discussion and encounter"
199;"anger";" i sometimes quarrel with my mother because she blames me though i have not in any way been connected to some events"
200;"sadness";" after hearing about the death of my grandfather first i could not believe it but later i wept and felt the situation was hopeless i felt lonely and wanted to be consolated"
201;"disgust";" in the evening while i was watching tv my little brother came in and started eating food he had brought from the kitchen while i was trying to concentrate on the program"
202;"shame";" my little brother was arrested by the police at the railway station after he had drunk some beer"
203;"guilt";" at my temporary job i have to restrict others actions and make them obey me and this very often gives me a feeling of guilt i wish there could be some other way of acting"
204;"joy";" i met a dear friend of mine after a long time i expressed my feelings in our own usual way by mutual scolding and abusing with complete understanding and by touching patting and taking the hand of the other person etc"
205;"fear";" i felt fear of the purest kind after a car accident the incident and images of horror kept coming back to my mind i wondered what could have happened to my sister my friend and me though nothing very serious actually happened"
206;"anger";" two boys whom i know were telling me in an indecent manner how they had teased a young and shy girl i know they had despised her conviction scorned and touched her i got very angry and did not try to conceal it and gave it back to them"
207;"sadness";" my sweetheart left me or rather we decided to break it off by mutual consent the consequences were unrestrained weeping feelings of loneliness hopelessness and disconsolation i felt that i should find a friend to talk to joyfully and to forget"
208;"disgust";" out of sheer curiosity i went to see a pornographic movie in copenhagen the room was full of men who panted and masturbated very disgusting"
209;"shame";" after having quarrelled unnecessarily and without any reason and having been stupidly cross in every way"
210;"shame";" do not know"
211;"guilt";" forced to fill in a questionnaire"
212;"joy";" when i won a tennis match"
213;"fear";" when my dog ran out on thin ice last spring"
214;"anger";" when my tennis match was interrupted because a kid cycled right into the court"
215;"sadness";" no response"
216;"disgust";" no response"
217;"shame";" no response"
218;"guilt";" no response"
219;"joy";" celebrations on the graduation day with the orchestra playing in the garden i am a part of this orchestra"
220;"fear";" risk of being involved in a fight after a party"
221;"anger";" i had a very heavy work load and two colleagues whom i have nothing against disturbed me by terror ringing ie continuously interrupting me by telephoning"
222;"sadness";" after an exam which i failed"
223;"disgust";" normally i do not feel disgusted"
224;"shame";" when i overtook a car on the railroad misjudging the distance of an oncoming car and this resulted in tooting and flashing from the other driver we could have collided and i had an acquaintance in the car with me"
225;"guilt";" i saw a neighbour from the same apartment block as me lying on the road he could have been injured or ill i kept metres away and did not go to help him"
226;"joy";" when i met an old school friend school love who works in side"
227;"fear";" when i was cycling to school i nearly got knocked down by a car which overtook me too closely did not give me any swerving space"
228;"anger";" when i was deputy manager during the summer certain deputies took liberties more than what was normal"
229;"sadness";" when i realized that my girlfriend whom i like and i were going to separate"
230;"disgust";" dog dirt which thaws in the spring"
231;"shame";" when i forgot my mothers birthday"
232;"guilt";" can not think of anything just now"
233;"joy";" passed the last exam"
234;"fear";" was nearly knocked down by a car"
235;"anger";" i reached the bus stop and realized that i had forgotten my bus pass"
236;"sadness";" my current work load is too much the feeling comes back from time to time"
237;"disgust";" can not think of any situation"
238;"shame";" no response"
239;"guilt";" no response"
240;"joy";" when my one year old son gives me a spontaneous kiss"
241;"fear";" when someone close to me is travelling by car and is delayed"
242;"anger";" when someone does something wrong which affects me negatively"
243;"sadness";" when i think about my parents getting old"
244;"disgust";" can not remember"
245;"shame";" no response"
246;"guilt";" i do not have the time for other peoples problems my motherinlaw is sometimes depressed and i do not have the time the desire or the strength to help"
247;"joy";" an colleague asked me if i was interested in working in their accounts bureau they needed clever people and he had immediately thought of me"
248;"fear";" i was driving and a deer suddenly appeared in front of the car when there was a lot of traffic behind me"
249;"anger";" i saw a report on tv news on apartheid in south africa"
250;"sadness";" no response"
251;"disgust";" no response"
252;"shame";" no response"
253;"guilt";" no response"
254;"joy";" when my girlfriend became pregnant"
255;"fear";" when i nearly collided with another car"
256;"anger";" the time when someone let the air out of the tyres of my cycle"
257;"sadness";" when i read a lot and did not remember anything"
258;"disgust";" no response"
259;"shame";" no response"
260;"guilt";" the time that i had to put my dog to sleep"
261;"joy";" no response"
262;"fear";" no response"
263;"anger";" no response"
264;"sadness";" long illness"
265;"joy";" when i passed an exam"
266;"fear";" when i was travelling by tram i tripped and fell against the door i thought that i was going to fall out"
267;"anger";" when i missed the tram after having run for it"
268;"sadness";" the inability to read a book at college"
269;"disgust";" if a guy one is not interested in makes advances"
270;"shame";" i drink wine too often"
271;"guilt";" i do not study enough as i do not understand it properly"
272;"joy";" i worked at a lawyers office during summer and i got a very good reference from him"
273;"fear";" i had been watching a triller a dark night in the country and i had to go the outside toilet on my own"
274;"anger";" when i am accused of something i have not done i get unbelievably angry"
275;"sadness";" when i began to read a thick book which i had a limited time to read also when i have a lot of work to do and i can not keep up"
276;"disgust";" someone vomited on the street"
277;"shame";" i can not think of any incident when i have felt very ashamed there are small incidents that i am ashamed of for instance not sending money to the children in ethiopia"
278;"guilt";" i had lunch with my exboyfriend and did not mention it to my fiancee i felt guilty despite the fact that i felt nothing for my exboyfriend"
279;"joy";" when i was finally qualified for my profession"
280;"fear";" someone attacked me with a knife"
281;"anger";" someone drove into my car and then denied that it had happened"
282;"sadness";" when i was told that my friends wife had cancer"
283;"disgust";" when i saw a dog which had been knocked down by a car"
284;"shame";" when i boxed my childs ears"
285;"guilt";" when i was fined for speeding"
286;"joy";" i stopped working had a boring job"
287;"fear";" i was going home by car late one night when it was cold dark and windy i became rather panicky on the way to my house"
288;"anger";" quarrel in the family"
289;"sadness";" when i am alone in a room with no contact with anyone loneliness drains me"
290;"disgust";" when i was on holiday someone vomited in front of me"
291;"shame";" emptied a bucket of water in a hospital"
292;"guilt";" when i feigned sick leave from work"
293;"joy";" when i get a hug from someone i love"
294;"fear";" i was driving very fast on a small road and i met an oncoming car in a right handed bend the other driver was on his own side of the road and i had to skid out of it to avoid a collision it was dark"
295;"anger";" my car had been towed away by the traffic police because it had been wrongly parked however the sign had been put up only after i had already parked"
296;"sadness";" after an operation i had to stay in bed for a long time"
297;"disgust";" i was forced to stay in the canteen and eat the food that i had not asked for but got it anyway"
298;"shame";" when i did not buy what i had promised to"
299;"guilt";" by mistake i took a book from the library which was not supposed to be loaned out"
300;"joy";" when i won an unexpected sum of money"
301;"fear";" my year old daughter disappeared in a moment of inattention i was responsible for her"
302;"anger";" a colleague asked me for some advice and as he did not have enough confidence in me he asked a third person"
303;"sadness";" i wanted to be pregnant and did not succeed so i was depressed at every menstruation"
304;"disgust";" in a warm bus full of people someone vomited and the whole bus stank"
305;"shame";" i complained about a colleagues behaviour as she goes back on her word is often absent and is irresponsible i found out that she was an alcoholic and was trying to fight again her addiction"
306;"guilt";" i spoke to my mother on the phone she had skin cancer and was waiting to be operated i forgot to ask her the date of the operation and just before finishing our conversation she gave me the date in passing"
307;"joy";" when i was at a party i met an old friend from an adult education course we had not met for years but had both thought a lot about each other a wonderful experience"
308;"fear";" when i was cycling through the park late one night two people jumped out of the woods and tried to stop me there were shouting something at the same time"
309;"anger";" when close relatives tried to dissuade me from studying psychology because of its low status"
310;"sadness";" i had a long discussion on politics with an acquaintance he was more knowledgeable than me and i failed to explain my point of view and was misunderstood so i felt depressed and left"
311;"disgust";" when i read a newspaper article on a young girl who had been raped and assaulted one night by several men when she was unconscious"
312;"shame";" my mother revealed personal details about me and the negative aspects of my character to other people when i was present but unable to defend myself"
313;"guilt";" i was unfaithful to my partner once when he was working abroad for a long period"
314;"joy";" when i recently got an apartment in central gothenburg"
315;"fear";" when i saw a large spider crawling up the wall"
316;"anger";" my employer took too many aspirins for a bad back and also drank an enormous amount of spirit this was dangerous and he did not understand that he had done anything wrong"
317;"sadness";" when i left new york and all my family and my friends behind me"
318;"disgust";" when i slept with a guy because my best friend wanted me to he had never had intercourse with anyone and had a terrible complex about it"
319;"shame";" when i dated a close girlfriends boyfriend a few times he told me that it was over between them and i accepted it when she found out she finished our friendship"
320;"guilt";" when i broke off with my boyfriend after three years it was quite unexpected for him and there was no particular reason for the break up such as someone else"
321;"joy";" when my son returned from mountaineering healthy in body and soul"
322;"fear";" when one meets new people with whom one is forced to collaborate with"
323;"anger";" the sports fishermen who catch gulls instead of fish with their hooks it is often a mistake but it makes me angry"
324;"sadness";" i feel sad about an event i can not influence"
325;"disgust";" when a member of the family complains about the food that is served it disgusts me"
326;"shame";" can not recall any incident when i felt shame"
327;"guilt";" i have chosen to put my son in a private school were the examination marks are low every time that he gives me his term results i am left with a sense of guilt"
328;"joy";" when i was informed that i had been accepted as a student of psychology"
329;"fear";" when i was in a little fishing boat and we ran into hard weather in the open sea"
330;"anger";" when i found out that the guy i was dating at a particular time had a steady relationship going on with someone else for a long time"
331;"sadness";" i felt sad and depressed when i heard that our cat had died"
332;"disgust";" when i was working as a nurse in a mental hospital a patient ate up the contents of another patients spittoon"
333;"shame";" at primary school when i vomited in front of others in the middle of a lesson"
334;"guilt";" i arrived an hour late for an important meeting i had misunderstood the time"
335;"joy";" when i was accepted as a student of psychology"
336;"fear";" when my son has a pain in his leg for no apparent reason"
337;"anger";" when after a week at school a teacher sent a note home saying that my son was inattentive and unable to do his lessons"
338;"sadness";" when i thought that it was going to be impossible for me to start studying due to wrong information from the student advisor"
339;"disgust";" at a certain persons lack of cleanliness at home and personally"
340;"shame";" when i made the same mistake that i had accused someone else of and this was obvious to a third person"
341;"guilt";" when i lost something that was valuable to my sister"
342;"joy";" when my son was born"
343;"fear";" when i nearly drowned in icy water wearing ice skates it was difficult to get out"
344;"anger";" when i was pointed out as a problem child in primary school and my mother took the teachers point of view"
345;"sadness";" when i was accused of neglecting work for the wrong reasons"
346;"disgust";" my parents attitude towards each other when they should become reconciled despite my fathers longtime addiction"
347;"shame";" when i was caught stealing money from my father"
348;"guilt";" i stole a coconut cake from a reception table and when i put in my mouth i realized that the host was watching me"
349;"joy";" when after months of national service i was downgraded and did not have to do the remaining months"
350;"fear";" when i was reprimanded by the manager of the hotel where i worked during autumn"
351;"anger";" when my parents drove me to a nearby place and went home immediately instead of waiting a few hours they could have easily waited"
352;"sadness";" when my girlfriend and i discovered that there was a certain risk of her being pregnant"
353;"disgust";" when i was about to clean the draining board and saw it looked underneath the sink i live in a students hostel"
354;"shame";" when my mother caught me masturbating"
355;"guilt";" as the only person in my family into academics i ought to have looked after my younger and only sister better with respect to her education and life experiences"
356;"joy";" when my older sister told us that she was thinking of joining the rest of the family for the winter sports holiday"
357;"fear";" slept in a chapel and in the middle of the night i realized that there was someone else in the chapel i never discovered who it was and why he was there"
358;"anger";" when we were in high school a few guys sometimes provoked a friend of mine they called her a pig and then grunted this irritated most of the girls once one of the girls got angry at my friend and said something nasty and this made me terribly angry"
359;"sadness";" i talked to my boyfriend on the phone when i was in high spirits and had a lot to tell him i had been looking forward to this conversation and he did not listen to me to the extent that i had anticipated"
360;"disgust";" a mother who shouts at her child for nothing"
361;"shame";" when i complained to my mother about how untidy the kitchen looked she boxed my ears this had never happened before"
362;"guilt";" as i could not be home before midnight i called home at and asked them to leave the door open so that i could get in i actually woke up the whole family by calling them so late my mother could not go back to sleep besides she had a conference the next day and really needed to sleep"
363;"joy";" when i got through the first day here at the department"
364;"fear";" when i was cycling past a parked car someone opened the door and nearly pushed me off my bike and into the traffic"
365;"anger";" when my boyfriend sat up half the night playing computer games with a friend"
366;"sadness";" when i had to leave my mother and my sister after a weeks visit"
367;"disgust";" when i saw a big spider from very close"
368;"shame";" when i asked a friend to return the money that i had loaned her and then remembered that she had repayed me in several ways"
369;"guilt";" when one of my parents insinuates something about the other they are divorced"
370;"joy";" when i was asked to be a childs godmother"
371;"fear";" on the way down a ski slope which was difficult and steep"
372;"anger";" when my mother interfered in my life"
373;"sadness";" when i was left alone one weekend without being prepared for it"
374;"disgust";" the first time that i saw a surgeon cut off a leg and put it in a black rubbish bag"
375;"shame";" when i forgot about a meeting at work"
376;"guilt";" when i demand too much from my friends"
377;"joy";" when my husband suddenly came to see me at my new job and brought some flowers and cake with him"
378;"fear";" when i was nearly attacked by a man who had been chasing me"
379;"anger";" when my father asked me if i was a communist at the same time he made it clear that i should no longer see myself as his daughter"
380;"sadness";" when i applied for a job which i thought i had a good chance of getting i was not even granted an interview and did not get the job"
381;"disgust";" tv features showing the violation of defenceless people"
382;"shame";" when i as a child of or i was playing doctor with the neighbours boys their mother caught us"
383;"guilt";" when my husband talked about the restrictions he will have to accept in his life to make our marriage work i felt that it was directed at me as it was me who had demanded the changes we were with a marriage counsellor then"
384;"joy";" when we were able to afford a new sofa a leather one which cost see i had waited for it for years"
385;"fear";" vertigo standing on a ladder and painting the house"
386;"anger";" when my boss enrolled in a course to satisfy his own ends to trample on his associates i have the misfortune to have one of my superiors in my course"
387;"sadness";" when i argue with my mother about the way she treats her two children differently"
388;"disgust";" spit and vomit"
